,0
476,5236.9
477,5150
478,5308.25
479,5017.37
480,5048.01
481,5045.22
482,5131.3
483,5024.95
484,5173.72
485,5202.82
486,5258.44
487,5258.68
488,5291.73
489,5256.14
490,5357.14
491,5493.31
492,5415
493,5219.9
494,5314.1
495,5295.69
496,5307.52
497,5238.14
498,5320.81
499,5383.2
500,5492.87
501,5772.69
502,5829.45
503,5775.62
504,5747.79
505,5846.34
506,5987.29
507,6209.18
508,6373.33
509,7076.22
510,6967.31
511,7790.71
512,7947.56
513,8169.87
514,7866.59
515,7355.26
516,7257.45
517,8148.48
518,7938.15
519,7904.87
520,7628.43
521,7851.51
522,7964.87
523,8025.41
524,8614.43
525,8756.32
526,8715.64
527,8645.68
528,8269.54
529,8555
530,8544.07
531,8725.98
532,8115.82
533,7687.03
534,7776.5
535,7786.7
536,7980.53
537,7893.62
538,7628.13
539,7982.75
540,7884.9
541,8127.64
542,8218.54
543,8650
544,8808.7
545,8953.33
546,9313.96
547,9081.55
548,9255.49
549,9517.12
550,10159.86
551,10729.5
552,10906.07
553,11056.59
554,11820.86
555,13093.8
556,11329.99
557,12400.63
558,11903.13
559,10854.1
560,10624.93
561,10842.85
562,11940
563,11145.67
564,10970.73
565,11256.49
566,11406.24
567,12238.6
568,12543.41
569,12108.37
570,11342.89
571,11757.22
572,11355.76
573,10174.18
574,10838.72
575,9439.59
576,9667.92
577,10627.16
578,10504.29
579,10740.23
580,10589.45
581,10340.31
582,9864.91
583,9763.28
584,9879.87
585,9824
586,9476.52
587,9541.54
588,9507.64
589,9574.21
590,10080.53
591,10374.99
592,10523.75
593,10816.86
594,10929.23
595,11828.8
596,11481.69
597,11975.03
598,11999.77
599,11879.99
600,11309.31
601,11549.97
602,11396.08
603,10892.71
604,10050.37
605,10293.93
606,10331.54
607,10216.02
608,10306.78
609,10915.54
610,10760.51
611,10142.57
612,10099.88
613,10389.55
614,10134.35
615,10142.69
616,10372.25
617,10185.05
618,9721
619,9498.44
620,9584.54
621,9587.47
622,9724.98
623,10340
624,10615.28
625,10567.02
626,10564.49
627,10298.73
628,10455.88
629,10381.18
630,10303.12
631,10098.15
632,10158.33
633,10415.01
634,10342.06
635,10335.02
636,10302.01
637,10251.31
638,10187.82
639,10156.99
640,10244.29
641,10168.59
642,9986.39
643,10028.87
644,9702.25
645,8493.14
646,8430.05
647,8063.73
648,8177.91
649,8198.81
650,8043.82
651,8289.34
652,8292.44
653,8359.94
654,8223.96
655,8137.13
656,8126.19
657,7854.25
658,8190.09
659,8168.39
660,8560.74
661,8558.03
662,8258.5
663,8300.09
664,8275.01
665,8348.2
666,8159.29
667,7991.74
668,8070.58
669,7947.01
670,7948.01
671,8223.35
672,8197.27
673,8020
674,7466.62
675,7412.41
676,8655.02
677,9230
678,9529.93
679,9205.14
680,9407.62
681,9154.72
682,9140.85
683,9231.61
684,9289.52
685,9194.71
686,9393.35
687,9308.66
688,9339.05
689,9216.2
690,8773.73
691,8809.41
692,9039.47
693,8733.27
694,8821.94
695,8777.12
696,8646.68
697,8471.73
698,8491.02
699,8502.4
700,8187.17
701,8133.64
702,8098.01
703,7627.74
704,7268.23
705,7311.57
706,6903.28
707,7109.57
708,7156.14
709,7508.52
710,7419.49
711,7739.68
712,7541.89
713,7390.89
714,7294.28
715,7292.71
716,7194.32
717,7389
718,7527.47
719,7488.21
720,7510.11
721,7338.64
722,7224.13
723,7210
724,7198.08
725,7258.48
726,7064.05
727,7118.59
728,6891.72
729,6623.82
730,7277.83
731,7150.3
732,7187.83
733,7132.75
734,7501.44
735,7317.09
736,7255.77
737,7204.63
738,7202
739,7254.74
740,7316.14
741,7388.24
742,7246
743,7195.23
744,7200.85
745,6965.71
746,7344.96
747,7354.11
748,7358.75
749,7758
750,8145.28
751,8055.98
752,7817.76
753,8197.02
754,8020.01
755,8184.98
756,8110.34
757,8810.01
758,8821.41
759,8720.01
760,8913.28
761,8915.96
762,8701.7
763,8642.35
764,8736.03
765,8682.36
766,8404.52
767,8439
768,8340.58
769,8615
770,8907.57
771,9374.21
772,9301.53
773,9513.21
774,9352.89
775,9384.61
776,9331.51
777,9292.24
778,9197.02
779,9612.04
780,9772
781,9813.73
782,9895.05
783,10151.75
784,9851.83
785,10223.08
786,10326.46
787,10229.63
788,10344.36
789,9904.72
790,9917.27
791,9706
792,10164.71
793,9593.79
794,9596.42
795,9677.05
796,9650.86
797,9936.4
798,9656.13
799,9315.84
800,8785.25
801,8823.21
802,8692.91
803,8523.61
804,8531.88
805,8915.24
806,8760.07
807,8750.87
808,9054.68
809,9131.88
810,8886.66
811,8033.31
812,7929.87
813,7894.56
814,7934.52
815,4800
816,5578.6
817,5172.06
818,5361.3
819,5028.97
820,5312.64
821,5393.04
822,6162.37
823,6208.36
824,6186.98
825,5816.19
826,6467.31
827,6744.72
828,6677.43
829,6737.36
830,6359.11
831,6236.65
832,5881.42
833,6394.38
834,6410.44
835,6642.92
836,6794.09
837,6734.1
838,6856.99
839,6772.78
840,7329.9
841,7197.32
842,7361.28
843,7283.54
844,6858.92
845,6876.83
846,6903.79
847,6837.91
848,6868.7
849,6621.24
850,7101.94
851,7027.55
852,7248.6
853,7120.74
854,6826.83
855,6841.37
856,7125.14
857,7482.39
858,7505
859,7538.67
860,7693.1
861,7774.62
862,7738.98
863,8778.57
864,8620
865,8826.96
866,8972.05
867,8894.16
868,8871.96
869,9021.83
870,9142.92
871,9986.4
872,9800.01
873,9539.4
874,8722.77
875,8561.52
876,8810.79
877,9309.37
878,9791.98
879,9316.42
880,9381.27
881,9680.04
882,9733.93
883,9775.53
884,9511.43
885,9068.65
886,9170
887,9179.15
888,8720.34
889,8900.35
890,8841.18
891,9204.07
892,9575.89
893,9427.07
894,9697.72
895,9448.27
896,10200.77
897,9518.04
898,9666.24
899,9789.06
900,9621.16
901,9666.3
902,9746.99
903,9782.01
904,9772.43
905,9885
906,9280.4
907,9465.13
908,9473.34
909,9342.1
910,9426.02
911,9525.59
912,9465.14
913,9386.32
914,9310.23
915,9358.95
916,9294.69
917,9685.69
918,9624.89
919,9296.49
